id,listingId,slug,streetAddress,soldAt,soldAtLabel,askingPrice,finalPrice,livingArea,locationDescription,fee,squareMeterPrice,housingForm,rooms,landArea,priceChange,brokerAgencyName,brokerAgencyThumbnail,brokerThumbnail,brokerName,labels,product,recordType,latitude,longitude
4676726427712722445,21444851,lagenhet-5rum-norrliden-sundsvalls-kommun-kungsvagen-11-4676726427712722445,Kungsvägen 11,1734001200.0,Såld 12 dec. 2024,3195000.0,3300000,114.5,"Norrliden, Sundsvalls kommun",6679,28821,"{""symbol"":""APARTMENT""}",5 rum,,3.0,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2/6f/47/6f472408571111fc3d41d0dff42955b9.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39887,17.317627
4900108720804980567,21451832,lagenhet-2rum-haga-sundsvalls-kommun-institutsvagen-9-4900108720804980567,Institutsvägen 9,1733494500.0,Såld 6 dec. 2024,1285000.0,1560000,65.4,"Haga, Sundsvalls kommun",4301,23853,"{""symbol"":""APARTMENT""}",2 rum,,21.0,Svenska Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/80/ce/80cebbd188b792a0cdc2c2bd4cfda1f7.png,,,FEATURE:Balkong;FEATURE:Uteplats;FEATURE:Hiss,NONE,COMMON,62.4028358,17.3182373
7083611113293761929,21363992,lagenhet-3rum-norrliden-sundsvalls-kommun-kungsvagen-11-7083611113293761929,Kungsvägen 11,1733493600.0,Såld 6 dec. 2024,2950000.0,2800000,73.5,"Norrliden, Sundsvalls kommun",4681,38095,"{""symbol"":""APARTMENT""}",3 rum,,-5.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.3988342,17.3177586
3636309349001224696,21317457,lagenhet-7rum-norrliden-sundsvalls-kommun-baldersvagen-40-3636309349001224696,Baldersvägen 40,1733439599.0,Såld 5 dec. 2024,4100000.0,3575000,203.0,"Norrliden, Sundsvalls kommun",11475,17611,"{""symbol"":""APARTMENT""}",7 rum,,-13.0,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong,NONE,COMMON,62.3979662,17.3130871
650215218306238925,21426367,"lagenhet-2,5rum-centralt-vast-pa-stan-sundsvalls-kommun-storgatan-72b-650215218306238925",Storgatan 72b,1732921199.0,Såld 29 nov. 2024,1375000.0,1375000,60.0,"Centralt - Väst på stan, Sundsvalls kommun",3896,22917,"{""symbol"":""APARTMENT""}","2,5 rum",,0.0,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong,NONE,COMMON,62.3928825,17.2885506
178439539420377136,21447342,lagenhet-2rum-centralt-vast-pa-stan-sundsvalls-kommun-vastra-allen-9-178439539420377136,Västra Allén 9,1732921199.0,Såld 29 nov. 2024,1195000.0,1510000,69.0,"Centralt - Väst på stan, Sundsvalls kommun",2908,21884,"{""symbol"":""APARTMENT""}",2 rum,,26.0,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,FEATURE:Balkong,NONE,COMMON,62.3915095,17.2903269
6769318682494701118,21423297,lagenhet-2rum-centrum-sundsvalls-kommun-storgatan-52b-6769318682494701118,Storgatan 52B,1732903200.0,Såld 29 nov. 2024,1350000.0,1350000,60.0,"Centrum, Sundsvalls kommun",3596,22500,"{""symbol"":""APARTMENT""}",2 rum,,0.0,Fastighetsbyrån Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/3d/53/3d53972640f121199879bf779e590c7d.jpg,,,FEATURE:Hiss,NONE,COMMON,62.3924228968,17.294745211
3825795265158158614,21444554,lagenhet-2rum-sundsvall-sundsvalls-kommun-akersviksgatan-9c-3825795265158158614,Åkersviksgatan 9C,1732579200.0,Såld 26 nov. 2024,1375000.0,1375000,56.5,"Sundsvall, Sundsvalls kommun",4150,24336,"{""symbol"":""APARTMENT""}",2 rum,,0.0,Svensk Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_1/73/80/7380eae8e412bea23a30d7cdd416f750.png,https://bilder.hemnet.se/images/broker_profile_small/ed/b7/edb7d0a7e8297703f5545f9510a6ea60.jpg,Alexander Vallgren,FEATURE:Balkong,ENHANCED,COMMON,62.39152,17.29235
301691886443635262,21406627,lagenhet-3rum-sundsvall-centrum-sundsvalls-kommun-akersviksgatan-14-301691886443635262,Åkersviksgatan 14,1731744000.0,Såld 16 nov. 2024,1495000.0,1425000,72.0,"Sundsvall centrum, Sundsvalls kommun",3322,19792,"{""symbol"":""APARTMENT""}",3 rum,,-5.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Uteplats,NONE,COMMON,62.3911,17.2915688
1000091914421112188,21440793,lagenhet-4rum-norrliden-sundsvalls-kommun-norrlidsgatan-8-1000091914421112188,Norrlidsgatan 8,1731681000.0,Såld 15 nov. 2024,3750000.0,3725000,100.0,"Norrliden, Sundsvalls kommun",5969,37250,"{""symbol"":""APARTMENT""}",4 rum,,-1.0,Erik Olsson Fastighetsförmedling,https://bilder.hemnet.se/images/broker_logo_2/6f/47/6f472408571111fc3d41d0dff42955b9.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39731,17.31484
